Tickersymbol,Security,SECfilings,GICSSector,GICSSubIndustry,AddressofHeadquarters,Datefirstadded,CIK,AccountsPayable,AccountsReceivable,Add'l income/expenseitems,AfterTaxROE,CapitalExpenditures,CapitalSurplus,CashRatio,CashandCashEquivalents,ChangesinInventories,CommonStocks,CostofRevenue,CurrentRatio,DeferredAssetCharges,DeferredLiabilityCharges,Depreciation,EarningsBeforeInterestandTax,EarningsBeforeTax,EffectofExchangeRate,EquityEarnings/LossUnconsolidatedSubsidiary,FixedAssets,Goodwill,GrossMargin,GrossProfit,IncomeTax,IntangibleAssets,InterestExpense,Inventory,Investments,Liabilities,Long-TermDebt,Long-TermInvestments,MinorityInterest,Misc.Stocks,NetBorrowings,NetCashFlow,NetCashFlow-Operating,NetCashFlows-Financing,NetCashFlows-Investing,NetIncome,NetIncomeAdjustments,NetIncomeApplicabletoCommonShareholders,NetIncome-Cont.Operations,NetReceivables,Non-RecurringItems,OperatingIncome,OperatingMargin,OtherAssets,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquity,OtherFinancingActivities,OtherInvestingActivities,OtherLiabilities,OtherOperatingActivities,OtherOperatingItems,Pre-TaxMargin,Pre-TaxROE,ProfitMargin,QuickRatio,ResearchandDevelopment,RetainedEarnings,SaleandPurchaseofStock,"Sales,GeneralandAdmin.",Short-TermDebt /CurrentPortionofLong-TermDebt,Short-TermInvestments,TotalAssets,TotalCurrentAssets,TotalCurrentLiabilities,TotalEquity,TotalLiabilities,TotalLiabilities&Equity,TotalRevenue,TreasuryStock,EarningsPerShare,EstimatedSharesOutstanding,YOYReturns
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,1467373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1209
ATVI,Activision Blizzard,reports,Information Technology,Home Entertainment Software,"Santa Monica, California",8/31/2015,718877,909000000,-40000000,0,11,-111000000,10242000000,70,1823000000,-54000000,0,1585000000,130,275000000,10000000,501000000,1319000000,1121000000,-366000000,0,189000000,7095000000,66,3079000000,229000000,562000000,198000000,128000000,0,181000000,4079000000,9000000,0,0,-48000000,-3025000000,1192000000,-135000000,-3716000000,892000000,41000000,892000000,892000000,679000000,0,1319000000,28,3734000000,749000000,1702000000,-633000000,-83000000,-3605000000,483000000,-329000000,0,24,14,19,125,646000000,4096000000,106000000,1114000000,0,8000000,15251000000,3387000000,2611000000,8068000000,7183000000,15251000000,4664000000,-5637000000,1.21,737190082.6,-0.0671
ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,"San Jose, California",5/5/1997,796343,779356000,-79502000,34870000,9,-184936000,4184883000,180,876560000,0,61000,744317000,218,0,259303000,339473000,937965000,873781000,-21297000,0,787421000,5366881000,84,4051194000,244230000,510007000,64184000,0,-535197000,350908000,1907231000,80439000,0,0,387091000,-240840000,1469502000,-200687000,-1488358000,629551000,236773000,629551000,629551000,672006000,1559000,903095000,19,159832000,161802000,1434200000,-169080000,0,-768225000,344802000,-7701000,68649000,18,12,13,218,862730000,7253431000,-647103000,2215161000,0,3111524000,11726472000,4821892000,2213556000,7001580000,4724892000,11726472000,4795511000,-4267715000,1.26,499643650.8,0.0959
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",7/12/2007,1086222,278148000,-56247000,8999000,10,-311676000,4437420000,225,289473000,0,1772000,725620000,377,4700000,17051000,318088000,475149000,456624000,-10036000,0,753180000,1150244000,67,1471828000,135218000,156095000,18525000,0,153060000,54503000,624288000,774674000,0,0,0,50823000,764151000,-267728000,-435564000,321406000,107278000,321406000,321406000,380399000,767000,466150000,21,95844000,123228000,54292000,-41453000,-56214000,-276948000,93268000,19123000,27067000,21,15,15,377,148591000,-1276861000,-240815000,829253000,0,460088000,4187925000,1253188000,332440000,3120878000,1067047000,4187925000,2197448000,0,1.8,178558888.9,0.2669
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/2013,1101215,1010619000,8307000,0,30,-191683000,2981041000,25,1624601000,0,1121000,4482700000,254,617000,777420000,524467000,1261860000,931676000,-25309000,0,576706000,3814078000,30,1957046000,326248000,1203745000,330184000,0,-2899032000,98026000,10136018000,0,0,167377000,3009130000,90885000,1705841000,1772901000,-3362548000,596541000,638239000,596541000,596541000,14052456000,0,1261860000,20,576267000,573360000,3975291000,-137251000,-205928000,-271833000,2925426000,-168626000,492140000,14,46,9,254,0,3092464000,-1020923000,203046000,1419649000,0,22421830000,16250417000,6405559000,2010030000,20411800000,22421830000,6439746000,-3927345000,8.91,66951851.85,-0.1738
GOOGL,Alphabet Inc Class A,reports,Information Technology,Internet Software & Services,"Mountain View, California",4/3/2014,1652044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185
GOOG,Alphabet Inc Class C,reports,Information Technology,Internet Software & Services,"Mountain View, California",1/0/1900,1652044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170
APH,Amphenol Corp,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/2008,820313,1008100000,-22300000,16400000,24,-172100000,783300000,175,1737200000,-5200000,300000,3789200000,382,0,0,171600000,1121100000,1052800000,-54800000,0,609500000,2692900000,32,1779500000,280500000,306000000,68300000,851800000,335900000,35400000,2813200000,0,39900000,0,153600000,768300000,1030500000,-180100000,-27300000,763500000,28000000,763500000,763500000,1104600000,5700000,1104700000,20,0,133200000,0,-349500000,0,-191100000,358400000,50700000,0,19,33,14,297,0,2804400000,-184500000,669100000,300000,23200000,7458400000,3850000000,1008400000,3238500000,4219900000,7458400000,5568700000,0,2.47,309109311.7,0.2866
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",1/0/1900,6281,438904000,-71198000,6303000,14,-153960000,634484000,272,884353000,-35557000,52011000,1175830000,366,57033000,251129000,222240000,837144000,810114000,-3950000,0,644110000,1636526000,66,2259262000,113236000,583517000,27030000,412314000,152175000,89394000,495341000,17482000,0,0,0,315120000,907798000,-571603000,-17125000,696878000,-1366000,696878000,696878000,595768000,0,830841000,24,40561000,42538000,300087000,-50851000,-1267000,-15340000,125763000,7407000,88318000,24,16,20,329,637459000,4437315000,-104322000,702644000,374594000,2144575000,7058777000,4079548000,1113585000,5072959000,1985818000,7058777000,3435092000,0,0.31,2247993548,0.3127
AAPL,Apple Inc.,reports,Information Technology,Computer Hardware,"Cupertino, California",11/30/1982,320193,60671000000,-3124000000,1285000000,45,-11247000000,0,52,21120000000,-238000000,27416000000,1.4E+11,111,0,3624000000,11257000000,72515000000,72515000000,0,0,22471000000,5116000000,40,93626000000,19121000000,3893000000,0,2349000000,-44417000000,15188000000,53329000000,1.64E+11,0,0,29305000000,7276000000,81266000000,-17716000000,-56274000000,53394000000,4968000000,53394000000,53394000000,30343000000,0,71230000000,30,5422000000,15085000000,8940000000,-345000000,-1499000000,-610000000,33427000000,-179000000,0,31,61,23,108,8067000000,92284000000,-34710000000,14329000000,10999000000,20481000000,2.9E+11,89378000000,80610000000,1.19E+11,1.71E+11,2.9E+11,2.34E+11,0E+00,9.28,5753663793,0.1003
